date,matchday,hometeamid,awayteamid,status
2026-08-21,1,1,7,Not Played
2026-08-22,1,11,16,Not Played
2026-08-22,1,9,8,Not Played
2026-08-22,1,12,19,Not Played
2026-08-22,1,18,13,Not Played
2026-08-22,1,4,20,Not Played
2026-08-23,1,15,3,Not Played
2026-08-23,1,5,2,Not Played
2026-08-23,1,17,14,Not Played
2026-08-24,1,10,6,Not Played
2026-08-28,2,8,15,Not Played
2026-08-29,2,14,18,Not Played
2026-08-29,2,3,9,Not Played
2026-08-29,2,7,11,Not Played
2026-08-29,2,20,17,Not Played
2026-08-30,2,6,5,Not Played
2026-08-30,2,13,4,Not Played
2026-08-30,2,19,10,Not Played
2026-08-30,2,16,12,Not Played
2026-08-31,2,2,1,Not Played
2026-09-04,3,12,14,Not Played
2026-09-05,3,17,3,Not Played
2026-09-05,3,10,8,Not Played
2026-09-05,3,15,7,Not Played
2026-09-05,3,5,13,Not Played
2026-09-05,3,4,19,Not Played
2026-09-05,3,18,20,Not Played
2026-09-05,3,11,2,Not Played
2026-09-06,3,9,16,Not Played
2026-09-06,3,1,6,Not Played
2026-09-12,4,3,4,Not Played
2026-09-12,4,14,10,Not Played
2026-09-12,4,6,11,Not Played
2026-09-12,4,8,12,Not Played
2026-09-12,4,2,18,Not Played
2026-09-12,4,20,9,Not Played
2026-09-12,4,19,1,Not Played
2026-09-13,4,7,5,Not Played
2026-09-13,4,16,15,Not Played
2026-09-14,4,13,17,Not Played
2026-09-18,5,4,6,Not Played
2026-09-19,5,20,2,Not Played
2026-09-19,5,17,11,Not Played
2026-09-19,5,9,12,Not Played
2026-09-19,5,15,19,Not Played
2026-09-19,5,5,1,Not Played
2026-09-19,5,13,8,Not Played
2026-09-19,5,18,7,Not Played
2026-09-20,5,3,14,Not Played
2026-09-20,5,10,16,Not Played
2026-10-10,6,16,20,Not Played
2026-10-10,6,14,15,Not Played
2026-10-10,6,1,13,Not Played
2026-10-10,6,6,3,Not Played
2026-10-10,6,8,18,Not Played
2026-10-10,6,12,10,Not Played
2026-10-10,6,11,9,Not Played
2026-10-10,6,2,4,Not Played
2026-10-10,6,19,5,Not Played
2026-10-10,6,7,17,Not Played
2026-10-17,7,17,2,Not Played
2026-10-17,7,3,19,Not Played
2026-10-17,7,10,11,Not Played
2026-10-17,7,9,6,Not Played
2026-10-17,7,20,7,Not Played
2026-10-17,7,15,12,Not Played
2026-10-17,7,5,8,Not Played
2026-10-17,7,4,14,Not Played
2026-10-17,7,13,16,Not Played
2026-10-17,7,18,1,Not Played
2026-10-24,8,16,3,Not Played
2026-10-24,8,14,5,Not Played
2026-10-24,8,1,9,Not Played
2026-10-24,8,6,20,Not Played
2026-10-24,8,8,17,Not Played
2026-10-24,8,12,18,Not Played
2026-10-24,8,11,4,Not Played
2026-10-24,8,2,15,Not Played
2026-10-24,8,19,13,Not Played
2026-10-24,8,7,10,Not Played
2026-10-31,9,17,9,Not Played
2026-10-31,9,3,13,Not Played
2026-10-31,9,14,1,Not Played
2026-10-31,9,20,8,Not Played
2026-10-31,9,6,16,Not Played
2026-10-31,9,15,5,Not Played
2026-10-31,9,4,18,Not Played
2026-10-31,9,11,12,Not Played
2026-10-31,9,2,10,Not Played
2026-10-31,9,7,19,Not Played
2026-11-07,10,16,2,Not Played
2026-11-07,10,10,17,Not Played
2026-11-07,10,1,11,Not Played
2026-11-07,10,9,7,Not Played
2026-11-07,10,5,4,Not Played
2026-11-07,10,8,14,Not Played
2026-11-07,10,12,3,Not Played
2026-11-07,10,13,20,Not Played
2026-11-07,10,18,15,Not Played
2026-11-07,10,19,6,Not Played
2026-11-21,11,17,1,Not Played
2026-11-21,11,3,18,Not Played
2026-11-21,11,14,16,Not Played
2026-11-21,11,20,12,Not Played
2026-11-21,11,6,13,Not Played
2026-11-21,11,15,10,Not Played
2026-11-21,11,4,9,Not Played
2026-11-21,11,11,5,Not Played
2026-11-21,11,2,19,Not Played
2026-11-21,11,7,8,Not Played
2026-11-28,12,16,4,Not Played
2026-11-28,12,10,3,Not Played
2026-11-28,12,1,15,Not Played
2026-11-28,12,9,14,Not Played
2026-11-28,12,5,17,Not Played
2026-11-28,12,8,11,Not Played
2026-11-28,12,12,2,Not Played
2026-11-28,12,13,7,Not Played
2026-11-28,12,18,6,Not Played
2026-11-28,12,19,20,Not Played
2026-12-02,13,17,16,Not Played
2026-12-02,13,3,5,Not Played
2026-12-02,13,14,19,Not Played
2026-12-02,13,20,10,Not Played
2026-12-02,13,6,8,Not Played
2026-12-02,13,15,13,Not Played
2026-12-02,13,4,1,Not Played
2026-12-02,13,11,18,Not Played
2026-12-02,13,2,9,Not Played
2026-12-02,13,7,12,Not Played
2026-12-05,14,16,7,Not Played
2026-12-05,14,17,19,Not Played
2026-12-05,14,3,11,Not Played
2026-12-05,14,9,10,Not Played
2026-12-05,14,20,1,Not Played
2026-12-05,14,6,14,Not Played
2026-12-05,14,4,15,Not Played
2026-12-05,14,13,12,Not Played
2026-12-05,14,18,5,Not Played
2026-12-05,14,2,8,Not Played
2026-12-12,15,10,4,Not Played
2026-12-12,15,14,13,Not Played
2026-12-12,15,1,3,Not Played
2026-12-12,15,15,6,Not Played
2026-12-12,15,5,9,Not Played
2026-12-12,15,8,16,Not Played
2026-12-12,15,12,17,Not Played
2026-12-12,15,11,20,Not Played
2026-12-12,15,19,18,Not Played
2026-12-12,15,7,2,Not Played
2026-12-19,16,3,7,Not Played
2026-12-19,16,14,20,Not Played
2026-12-19,16,1,16,Not Played
2026-12-19,16,6,2,Not Played
2026-12-19,16,15,11,Not Played
2026-12-19,16,5,12,Not Played
2026-12-19,16,4,17,Not Played
2026-12-19,16,13,10,Not Played
2026-12-19,16,18,9,Not Played
2026-12-19,16,19,8,Not Played
2026-12-26,17,16,18,Not Played
2026-12-26,17,17,15,Not Played
2026-12-26,17,10,5,Not Played
2026-12-26,17,9,19,Not Played
2026-12-26,17,20,3,Not Played
2026-12-26,17,8,1,Not Played
2026-12-26,17,12,4,Not Played
2026-12-26,17,11,14,Not Played
2026-12-26,17,2,13,Not Played
2026-12-26,17,7,6,Not Played
2026-12-30,18,16,19,Not Played
2026-12-30,18,17,18,Not Played
2026-12-30,18,10,1,Not Played
2026-12-30,18,9,15,Not Played
2026-12-30,18,20,5,Not Played
2026-12-30,18,8,3,Not Played
2026-12-30,18,12,6,Not Played
2026-12-30,18,11,13,Not Played
2026-12-30,18,2,14,Not Played
2026-12-30,18,7,4,Not Played
2027-01-02,19,3,2,Not Played
2027-01-02,19,14,7,Not Played
2027-01-02,19,1,12,Not Played
2027-01-02,19,6,17,Not Played
2027-01-02,19,15,20,Not Played
2027-01-02,19,5,16,Not Played
2027-01-02,19,4,8,Not Played
2027-01-02,19,13,9,Not Played
2027-01-02,19,18,10,Not Played
2027-01-02,19,19,11,Not Played
2027-01-06,20,16,17,Not Played
2027-01-06,20,10,20,Not Played
2027-01-06,20,1,4,Not Played
2027-01-06,20,9,2,Not Played
2027-01-06,20,5,3,Not Played
2027-01-06,20,8,6,Not Played
2027-01-06,20,12,7,Not Played
2027-01-06,20,13,15,Not Played
2027-01-06,20,18,11,Not Played
2027-01-06,20,19,14,Not Played
2027-01-16,21,17,10,Not Played
2027-01-16,21,3,12,Not Played
2027-01-16,21,14,8,Not Played
2027-01-16,21,20,13,Not Played
2027-01-16,21,6,19,Not Played
2027-01-16,21,15,18,Not Played
2027-01-16,21,4,5,Not Played
2027-01-16,21,11,1,Not Played
2027-01-16,21,2,16,Not Played
2027-01-16,21,7,9,Not Played
2027-01-23,22,16,14,Not Played
2027-01-23,22,10,2,Not Played
2027-01-23,22,1,17,Not Played
2027-01-23,22,9,4,Not Played
2027-01-23,22,5,15,Not Played
2027-01-23,22,8,20,Not Played
2027-01-23,22,12,11,Not Played
2027-01-23,22,13,6,Not Played
2027-01-23,22,18,3,Not Played
2027-01-23,22,19,7,Not Played
2027-01-30,23,17,5,Not Played
2027-01-30,23,3,10,Not Played
2027-01-30,23,14,9,Not Played
2027-01-30,23,20,19,Not Played
2027-01-30,23,6,18,Not Played
2027-01-30,23,15,1,Not Played
2027-01-30,23,4,16,Not Played
2027-01-30,23,11,8,Not Played
2027-01-30,23,2,12,Not Played
2027-01-30,23,7,13,Not Played
2027-02-06,24,16,6,Not Played
2027-02-06,24,10,15,Not Played
2027-02-06,24,1,14,Not Played
2027-02-06,24,9,17,Not Played
2027-02-06,24,5,11,Not Played
2027-02-06,24,8,7,Not Played
2027-02-06,24,12,20,Not Played
2027-02-06,24,13,3,Not Played
2027-02-06,24,18,4,Not Played
2027-02-06,24,19,2,Not Played
2027-02-10,25,16,5,Not Played
2027-02-10,25,17,6,Not Played
2027-02-10,25,10,18,Not Played
2027-02-10,25,9,13,Not Played
2027-02-10,25,20,15,Not Played
2027-02-10,25,8,4,Not Played
2027-02-10,25,12,1,Not Played
2027-02-10,25,11,19,Not Played
2027-02-10,25,2,3,Not Played
2027-02-10,25,7,14,Not Played
2027-02-20,26,3,8,Not Played
2027-02-20,26,14,11,Not Played
2027-02-20,26,1,10,Not Played
2027-02-20,26,6,12,Not Played
2027-02-20,26,15,17,Not Played
2027-02-20,26,5,20,Not Played
2027-02-20,26,4,7,Not Played
2027-02-20,26,13,2,Not Played
2027-02-20,26,18,16,Not Played
2027-02-20,26,19,9,Not Played
2027-02-27,27,16,1,Not Played
2027-02-27,27,17,4,Not Played
2027-02-27,27,10,13,Not Played
2027-02-27,27,9,18,Not Played
